交易时间,交易分类,交易对方,商品说明,收支,金额,支付方式
2026-06-01 08:12,餐饮,肯德基,早餐,支出,23.5,余额宝
2026-06-01 12:30,餐饮,美团外卖,午餐,支出,38.0,花呗
2026-06-01 21:05,娱乐,腾讯视频,会员续费,支出,25.0,余额宝
2026-06-02 09:05,交通,滴滴出行,通勤打车,支出,26.0,余额宝
2026-06-02 19:40,购物,淘宝,护肤品,支出,329.9,花呗
2026-06-03 12:15,餐饮,星巴克,咖啡,支出,35.0,余额宝
2026-06-03 20:15,购物,天猫超市,日用品,支出,129.9,花呗
2026-06-04 13:00,餐饮,麦当劳,午餐,支出,42.0,余额宝
2026-06-05 15:40,娱乐,王者荣耀,皮肤充值,支出,88.0,花呗
2026-06-06 19:22,餐饮,海底捞,朋友聚餐,支出,268.0,花呗
2026-06-07 10:30,交通,中石化,加油,支出,400.0,银行卡
2026-06-08 08:00,工资,某公司,6月工资,收入,16000.0,银行卡
2026-06-08 22:10,购物,京东,机械键盘,支出,499.0,银行卡
2026-06-09 12:40,餐饮,西贝莜面村,午餐,支出,88.0,花呗
2026-06-10 14:30,购物,Apple,AirPods,支出,1299.0,银行卡
2026-06-11 09:15,餐饮,瑞幸咖啡,咖啡,支出,19.9,余额宝
2026-06-12 18:50,餐饮,必胜客,晚餐,支出,126.0,花呗
2026-06-13 11:20,医疗,同仁堂,感冒药,支出,56.0,银行卡
2026-06-14 16:00,娱乐,万达影城,电影票,支出,90.0,余额宝
2026-06-15 20:30,购物,拼多多,零食,支出,79.9,花呗
2026-06-16 08:20,交通,地铁,通勤,支出,6.0,余额宝
2026-06-17 12:10,餐饮,沙县小吃,午餐,支出,18.0,余额宝
2026-06-18 19:00,餐饮,烧烤摊,夜宵,支出,145.0,花呗
2026-06-19 15:30,购物,优衣库,夏装,支出,398.0,银行卡
2026-06-20 10:00,教育,得到,课程,支出,199.0,银行卡
2026-06-21 13:20,餐饮,喜茶,奶茶,支出,32.0,余额宝
2026-06-22 21:40,娱乐,网易云音乐,黑胶会员,支出,15.0,余额宝
2026-06-23 12:00,餐饮,外婆家,午餐,支出,96.0,花呗
2026-06-24 17:30,购物,山姆会员店,生鲜囤货,支出,680.0,银行卡
2026-06-25 09:15,交通,滴滴出行,打车,支出,45.0,余额宝
2026-06-26 20:00,餐饮,火锅店,聚餐,支出,320.0,花呗
2026-06-27 11:00,医疗,美年大健康,体检,支出,899.0,银行卡
2026-06-28 14:00,购物,淘宝,数据线,支出,29.9,花呗
2026-06-29 19:30,餐饮,日料店,晚餐,支出,458.0,银行卡
2026-06-30 22:00,娱乐,Steam,游戏,支出,168.0,银行卡
