日期,标的名称,类型,操作,数量,成交价,金额,当前市值,持仓成本
2026-01-15,沪深300ETF,基金,买入,10000,3.85,38500,42000,38500
2026-02-10,中概互联ETF,基金,买入,20000,1.25,25000,21000,25000
2026-02-20,贵州茅台,股票,买入,10,1680,16800,18500,16800
2026-03-05,宁德时代,股票,买入,50,185,9250,7800,9250
2026-03-18,黄金ETF,基金,买入,5000,4.6,23000,26500,23000
2026-04-02,纳斯达克ETF,基金,买入,8000,1.85,14800,17200,14800
2026-04-15,比亚迪,股票,买入,30,245,7350,8100,7350
2026-04-28,货币基金,基金,买入,50000,1.0,50000,50600,50000
2026-05-10,招商银行,股票,买入,200,38,7600,8400,7600
2026-05-22,中概互联ETF,基金,加仓,10000,1.18,11800,10500,11800
2026-06-03,沪深300ETF,基金,加仓,5000,4.1,20500,21000,20500
2026-06-15,创业板ETF,基金,买入,6000,2.35,14100,13200,14100
2026-06-25,腾讯控股,股票,买入,50,380,19000,20500,19000
