日期,体重kg,睡眠小时,深睡小时,步数,静息心率,运动分钟,饮水ml
2026-06-01,72.5,6.2,1.1,6800,68,20,1200
2026-06-02,72.6,5.8,0.9,4200,71,0,900
2026-06-03,72.4,7.1,1.4,9100,66,45,1800
2026-06-04,72.3,6.5,1.2,7600,67,30,1500
2026-06-05,72.7,5.2,0.7,3800,73,0,800
2026-06-06,72.8,5.5,0.8,4100,72,0,1000
2026-06-07,72.5,7.8,1.6,12300,64,60,2000
2026-06-08,72.2,7.2,1.5,10200,65,50,1900
2026-06-09,72.3,6.0,1.0,5600,69,15,1300
2026-06-10,72.4,6.3,1.1,6900,68,25,1400
2026-06-11,72.1,7.5,1.5,11000,64,55,2100
2026-06-12,72.0,6.8,1.3,8400,66,40,1700
2026-06-13,72.2,5.6,0.8,4500,72,0,1000
2026-06-14,72.5,5.0,0.6,3200,74,0,700
2026-06-15,72.3,7.0,1.4,9500,65,45,1800
2026-06-16,72.1,6.6,1.2,7800,67,30,1600
2026-06-17,71.9,7.6,1.6,11800,63,60,2200
2026-06-18,71.8,7.1,1.4,9900,64,50,2000
2026-06-19,72.0,6.1,1.0,5900,69,20,1300
2026-06-20,72.1,5.9,0.9,4800,70,10,1100
2026-06-21,71.9,7.3,1.5,10600,64,55,2000
2026-06-22,71.7,6.9,1.3,8700,66,40,1800
2026-06-23,71.8,6.2,1.1,6400,68,25,1400
2026-06-24,71.9,5.4,0.7,3900,72,0,900
2026-06-25,72.0,5.8,0.9,4600,71,5,1000
2026-06-26,71.8,7.4,1.5,10900,64,55,2100
2026-06-27,71.6,7.7,1.6,12500,63,65,2300
2026-06-28,71.7,6.7,1.2,8200,66,35,1700
2026-06-29,71.8,6.0,1.0,5500,69,20,1300
2026-06-30,71.6,7.2,1.4,9800,65,50,1900
