日期,股票代码,股票名称,开盘价,最高价,最低价,收盘价,成交量
2026-04-01,600519,贵州茅台,1450.00,1468.50,1442.00,1462.30,31200
2026-04-02,600519,贵州茅台,1460.00,1475.00,1455.20,1471.80,28540
2026-04-03,600519,贵州茅台,1472.00,1480.50,1460.00,1465.20,30120
2026-04-07,600519,贵州茅台,1463.00,1470.00,1448.50,1452.60,33800
2026-04-08,600519,贵州茅台,1450.00,1458.00,1435.00,1440.80,35620
2026-04-09,600519,贵州茅台,1442.00,1455.50,1438.00,1451.20,29850
2026-04-10,600519,贵州茅台,1452.00,1470.00,1449.00,1466.50,27400
2026-04-11,600519,贵州茅台,1465.00,1488.00,1462.00,1482.30,32100
2026-04-14,600519,贵州茅台,1480.00,1495.50,1475.00,1490.80,30950
2026-04-15,600519,贵州茅台,1492.00,1505.00,1485.00,1498.20,28700
2026-04-16,600519,贵州茅台,1495.00,1502.00,1478.00,1483.50,34200
2026-04-17,600519,贵州茅台,1480.00,1488.00,1465.00,1470.20,36500
2026-04-18,600519,贵州茅台,1472.00,1478.00,1452.00,1458.60,38100
2026-04-21,600519,贵州茅台,1455.00,1468.00,1448.00,1462.40,29800
2026-04-22,600519,贵州茅台,1463.00,1475.00,1458.00,1471.80,27650
2026-04-23,600519,贵州茅台,1470.00,1485.50,1466.00,1480.20,30200
2026-04-24,600519,贵州茅台,1478.00,1492.00,1475.00,1488.50,29100
2026-04-25,600519,贵州茅台,1486.00,1500.00,1482.00,1495.80,31500
2026-04-28,600519,贵州茅台,1493.00,1510.00,1490.00,1505.20,33800
2026-04-29,600519,贵州茅台,1502.00,1518.00,1498.00,1512.50,35200
2026-04-30,600519,贵州茅台,1510.00,1525.00,1505.00,1520.80,36800
2026-05-06,600519,贵州茅台,1515.00,1522.00,1498.00,1505.40,39200
2026-05-07,600519,贵州茅台,1502.00,1510.00,1485.00,1490.60,41500
2026-05-08,600519,贵州茅台,1488.00,1498.00,1475.00,1482.30,38800
2026-05-09,600519,贵州茅台,1480.00,1495.00,1478.00,1490.80,32100
2026-05-12,600519,贵州茅台,1492.00,1508.00,1488.00,1502.50,30500
2026-05-13,600519,贵州茅台,1500.00,1515.00,1495.00,1510.20,29800
2026-05-14,600519,贵州茅台,1508.00,1520.00,1502.00,1516.80,31200
2026-05-15,600519,贵州茅台,1515.00,1528.00,1510.00,1522.40,33500
2026-05-16,600519,贵州茅台,1520.00,1535.00,1515.00,1530.60,34800
2026-05-19,600519,贵州茅台,1528.00,1540.00,1520.00,1525.20,36100
2026-05-20,600519,贵州茅台,1522.00,1530.00,1505.00,1510.80,40200
2026-05-21,600519,贵州茅台,1508.00,1518.00,1495.00,1500.40,38500
2026-05-22,600519,贵州茅台,1498.00,1512.00,1492.00,1508.60,32100
2026-05-23,600519,贵州茅台,1505.00,1525.00,1500.00,1520.20,29800
2026-05-26,600519,贵州茅台,1518.00,1535.00,1512.00,1530.80,31500
2026-05-27,600519,贵州茅台,1528.00,1545.00,1522.00,1540.50,34200
2026-05-28,600519,贵州茅台,1538.00,1555.00,1532.00,1548.20,35800
2026-05-29,600519,贵州茅台,1545.00,1560.00,1540.00,1555.60,37100
2026-05-30,600519,贵州茅台,1552.00,1568.00,1548.00,1562.40,38500
2026-06-02,600519,贵州茅台,1558.00,1570.00,1545.00,1550.20,41200
2026-06-03,600519,贵州茅台,1548.00,1558.00,1530.00,1535.80,43800
2026-06-04,600519,贵州茅台,1532.00,1545.00,1520.00,1528.40,40100
2026-06-05,600519,贵州茅台,1525.00,1540.00,1518.00,1536.60,35200
2026-06-06,600519,贵州茅台,1535.00,1552.00,1530.00,1548.20,32800
2026-06-09,600519,贵州茅台,1545.00,1560.00,1540.00,1555.80,31500
2026-06-10,600519,贵州茅台,1552.00,1570.00,1548.00,1565.40,34100
2026-06-11,600519,贵州茅台,1562.00,1580.00,1555.00,1572.60,36500
2026-06-12,600519,贵州茅台,1570.00,1585.00,1562.00,1578.20,35200
2026-06-13,600519,贵州茅台,1575.00,1590.00,1568.00,1585.50,37800
2026-06-16,600519,贵州茅台,1582.00,1595.00,1570.00,1575.80,42100
2026-06-17,600519,贵州茅台,1572.00,1582.00,1555.00,1560.40,44500
2026-06-18,600519,贵州茅台,1558.00,1570.00,1545.00,1552.60,40200
2026-06-19,600519,贵州茅台,1550.00,1565.00,1542.00,1560.20,35100
2026-06-20,600519,贵州茅台,1558.00,1578.00,1550.00,1572.80,32800
2026-06-23,600519,贵州茅台,1570.00,1588.00,1565.00,1582.40,33500
2026-06-24,600519,贵州茅台,1580.00,1595.00,1572.00,1590.60,34800
2026-06-25,600519,贵州茅台,1588.00,1605.00,1580.00,1598.20,36200
2026-06-26,600519,贵州茅台,1595.00,1612.00,1588.00,1605.80,37500
2026-06-27,600519,贵州茅台,1602.00,1618.00,1595.00,1610.40,38100
2026-06-30,600519,贵州茅台,1608.00,1625.00,1600.00,1618.50,39500
